Ref No	Prapāthaka-Ard	Text	R̥ṣi	Chandas	Dēvata	padapāṭha--rik	Notes
2.2.7.183.0	2.2	अ꣣य꣡मु꣢ ते꣣ स꣡म꣢तसि क꣣पो꣡त꣢ इव गर्भ꣣धि꣢म्। व꣢च꣣स्त꣡च्चि꣢न्न ओहसे ॥	शुनः शेप आजीगर्तिः	गायत्री	इन्द्रः	अ꣣य꣢म्। उ꣣। ते। स꣢म्। अ꣣तसि। कपो꣡तः꣢। इ꣣व। गर्भधि꣣म्। ग꣣र्भ। धि꣢म्। व꣡चः꣢꣯। तत्। चि꣣त्। नः। ओहसे। १८३।	
2.2.7.183.1	2.2	अ꣤या꣣ऽ५मु। ता꣤ऽ३इसा꣢ऽ३मा꣤꣯तसा꣥इ॥ का꣡पो꣯त꣢इ। वगा꣡र्भा꣢ऽ१धीऽ᳒२᳒म्॥ वा꣡चाऽ᳒२᳒स्ता꣡च्चीऽ२३त्॥ न꣢ओ꣡ऽ२३४वा꣥। हा꣤ऽ५सोऽ६"हा꣥इ॥	शुनश्शेपो	गायत्री	इन्द्रः		शौनश्शेपम्, च्यावनं वा
2.2.7.184.0	2.2	वा꣢त꣣ आ꣡ वा꣢तु भेष꣣ज꣢ꣳ श꣣म्भु꣡ म꣢यो꣣भु꣡ नो꣢ हृ꣣दे꣢। प्र꣢ न꣣ आ꣡यू꣢ꣳषि तारिषत् ॥	उलो वातायनः	गायत्री	इन्द्रः	वा꣡तः꣢꣯। आ। वा꣢तु। भेषज꣢म्। शं꣣म्भु꣢। श꣣म्। भु꣢। म꣣योभु꣢। म꣣यः। भु꣢। नः꣣। हृदे꣢। प्र। नः꣣। आ꣡यूँ꣢꣯षि। ता꣣रिषत्। १८४।	
2.2.7.184.1	2.2	वा꣤꣯त꣥आ꣤꣯वा꣥꣯तु। भा꣤ऽ५इषजा꣤म्॥ शा꣡म्भुम꣢यः। भुनो꣡हृ꣪दाऽ२३४इ। हा꣣꣯हो꣢इ॥ प्र꣡नआ꣯यूꣳषी꣢ऽ३ता꣢॥ रिषा꣡त्। औऽ२३हो꣤वा꣥। ई꣤डा꣥॥	काशीतो	गायत्री	इन्द्रः		प्रतीचीनेडं काशीतम् वायुर्वा
2.2.8.185.0	2.2	य꣡ꣳ रक्ष꣢꣯न्ति꣣ प्र꣡चे꣢तसो꣣ व꣡रु꣢णो मि꣣त्रो꣡ अ꣢र्य꣣मा꣢। न꣢ किः꣣ स꣡ द꣢भ्यते꣣ ज꣡नः꣢ ॥	कण्वो घौरः	गायत्री	इन्द्रः	य꣢म्। र꣡क्ष꣢꣯न्ति। प्र꣡चे꣢꣯तसः। प्र। चे꣣तसः। व꣡रु꣢꣯णः। मि꣣त्रः꣢। मि꣣। त्रः꣢। अ꣣र्यमा꣢। न। किः꣣। सः꣢। द꣣भ्यते। ज꣡नः꣢꣯। १८५।	
2.2.8.185.1	2.2	यꣳ꣤रक्ष꣥न्तिप्र꣤चे꣥꣯तसाः꣤॥ व꣡रुणो꣯मित्रो꣯अर्याऽ२᳐३मा꣢। न꣡। काइस्साऽ२३दा꣢॥ हिं꣡माये꣢ऽ३। भ्या꣡ऽ२᳐ता꣣ऽ२३४औ꣥꣯हो꣯वा॥ जा꣣ऽ२३४नाः꣥॥	सुमित्रो	गायत्री	इन्द्रः		सौमित्रम्॥विश्वेदेवा वा॥
2.2.8.186.0	2.2	ग꣣व्यो꣢꣫ षु णो꣣ य꣡था꣢ पु꣣रा꣢श्व꣣यो꣡त र꣢꣯थ꣣या꣢। व꣣रिवस्या꣢ म꣣हो꣡ना꣢म् ॥	वत्सः काण्वः	गायत्री	इन्द्रः	ग꣣व्य꣢। उ꣣। सु꣢। नः꣣। य꣡था꣢꣯। पु꣣रा꣢। अ꣣श्वया꣢। उ꣣त꣢। र꣣थया꣢। व꣣रिवस्या꣢। म꣣हो꣡ना꣢म्। १८६।	
2.2.8.186.1	2.2	ग꣥व्यो꣤꣯षुणो꣥꣯य꣤था꣥꣯पुरा꣤॥ अ꣢श्वयो꣯त꣡रथा। याव꣢रिवस्या꣡॥ म꣢। हो꣡꣯माऽ२३। हो꣯ना꣢ऽ३४औ꣥꣯हो꣯वा। ऊ꣣ऽ२३४पा꣥॥	श्यावाश्वोः	गायत्री	इन्द्रः		श्यावाश्वे द्वे
2.2.8.186.2	2.2	ग꣥व्यो꣯षुणो꣯यथा꣯पुराऽ६ए꣥॥ अ꣢श्वयोऽ१त। रथाऽ᳒२᳒। या꣡॥ व꣢रि꣡वाऽ᳒२᳒स्या꣡। म꣢हो꣡꣯। महोऽ२᳐ना꣣ऽ२३४औ꣥꣯हो꣯वा॥ ई꣣ऽ२३꣡४꣡५꣡॥	श्यावाश्वोः	गायत्री	इन्द्रः		
2.2.8.187.0	2.2	इ꣣मा꣡स्त꣢ इन्द्र꣣ पृ꣡श्न꣢यो घृ꣣तं꣡ दु꣢हत आ꣣शि꣡र꣢म्। ए꣣ना꣢मृ꣣त꣡स्य꣢ पि꣣प्यु꣡षीः꣢ ॥	वत्सः काण्वः	गायत्री	इन्द्रः	इ꣣माः꣢। ते꣣। इन्द्र। पृ꣡श्न꣢꣯यः। घृ꣣त꣢म्। दु꣣हते। आशि꣡र꣢म्। आ꣣। शिर꣢꣯म्। ए꣣ना꣢म्। ऋ꣣त꣡स्य꣢। पि꣣प्यु꣡षीः꣢। १८७।	
